назва,білки,жири,вуглеводи,збільшується в,клітковина,кальцій,залізо,вартість
горошок,3.1,0.2,11.4,1,5,43,1,12.5
тофу,13,7,,1,2,210,5.4,16.5
батат,1.6,,20,1,3,,,10.6
баклажан,1,,6,1,2.3,13,,2.7
нут,19,6,61,2.5,11.8,110,,11.6
квасоля червона,23.58,0.83,52.7,2.5,25,143,,9.2
сочевиця,26,1.1,60,2.5,11,70,,16.25
яйця,13,10.6,1.12,1,,54,,
шпинат,2.9,,3.6,1,1.84,106,,26.9
вівсянка,13.2,7,65.9,3,8,,,10
мигдальна паста,22.1,52.8,7.8,1,12,252,,149
клітковина льону,34,9,5.3,1,27,255,,28
олія,,99.4,,1,,,,40
броколі,2.8,0.4,7,1,3,105,,5
цибуля,1.1,0.1,9,1,2.58,36.5,,1.3
соєвий соус,2.6,,11,1,,,,13
хліб,10,28,16,1,5,,,14.6
оливки,1,12,5,1,2.4,120,,45
лимон,1,0.3,9,1,2.5,25.72,,6.8
рукола,2.1,0.7,2.6,1,1.5,,,46.4
петрушка,3,1,6,1,4.25,224,,16.4
насіння льону,25.5,40.7,23.3,1,21,255,,11.6
кунжут,18,50,23,1,8,959,,30
насіння коноплі,20.1,32.5,24.7,1,6,70,,94.5
йогурт,1.1,18,4.2,1,,150,,
вода,0,0,0,1,,,,0.5
цукіні,1.5,0.3,3,1,1.08,30,,3.2
борошно,5.95,1.42,77.73,1,0.8,5,,22.8
хумус,8,10,14,1,6,70,,33.2
морква,1,0.2,7.34,1,3.5,45,,1.1
томатна паста,4,,15.8,1,2.6,0.05,,20
кріп,2.6,0.3,3.4,1,3.7,208,,26.4
авокадо,1.6,13.1,6,1,5.5,14.5,,50
огірок,1,,2,1,0.9,18.09,,2.5
редис,1,,3.5,1,1.5,54.5,,5
зелена цибуля,1.5,,5,1,1,88.6,,26.4
зелень,1.6,0.5,1.5,1,3,200,,25
кейл,4.3,1,9,1,5.6,250,,60
томат,1,0.2,3.6,1,1.2,,,3.26
шоколад з керобу,9,55,30,1,7.4,,,110
урбеч,21,49,12,1,10,,,77.7
щавель,1.5,0.3,2.9,1,1.2,,,17.9
яблука,0.37,0.4,12.95,1,3.14,8.27,,2.5
апельсин,0.92,0.2,11.04,1,3.07,44.31,,8
грейпфрут,0.8,0.1,11,1,1.3,23,,6.5
лохина,1.1,0.6,6.5,1,2.5,16,,24.9
макарони,6.2,1.5,78.6,2.5,3.8,,,22.9
печериці,2.79,0.24,3,1,1.4,8,,14.9
песто,4.8,47,3.7,1,2,,,100
буряк,1.6,0.2,10,1,2.5,29.6,,2.2
соняшник,24,56,4,1,10,88,,12.6
часник,6.21,0.3,25,1,1.5,34.5,,11.4
мед,0.8,0,74.8,1,,5,,0
сік лимона,0.36,0.15,6,1,,14.55,,6.7
рис,7.4,1.8,72.9,3.5,3.7,,,13
кокосове молоко,0.3,3,7,1,,,,10
бальзамічний оцет,1,0,19.3,1,,,,21.8
перець,1,0.3,6,1,1.7,,,7.75
волоський горіх,15.76,63.38,18.45,1,6.2,,,32.9
маш,23.9,1.2,62.6,3.5,16.3,132,,21
опеньки мариновані,1.8,1,0.4,1,2,,,38.2
морська капуста,3,4,4,1,1.2,,,19.9
гранат,1.7,1.2,18.7,1,4,8,,25
стручкова квасоля,2.2,0.5,3.3,1,3,60,,16.25
яблучний оцет,0,0,0.7,1,,5,,74.49
ківі,1,0.6,13.8,1,3,38,,19.9
капуста,1,0.2,5,1,2.7,53,,1
кіноа,14.1,6.1,64.1,4,7.5,41,,14.36
насіння гарбуза,36,45,2,1,9,73,,30
салат,1,0.2,3.35,1,2.1,,,65
мікрогрін,7,0.7,27,1,2.2,,,60
гречка на замочування,12.6,2.6,68,2.5,5,,,14.6
полуниця,0.7,0.3,4,1,1.75,,,28.8
боби едамаме,11,6.8,10,1,,,,103
фундук,16,61,3,1,8.73,180.9,,70
мандарин,0.7,0.3,12,1,1.7,,,10.1
фісташки,20,45,28,1,7.5,130,,90
кінза,2.1,0.5,1.9,1,2.8,67,,56
селера,0.9,0.1,2.1,1,1.6,,,12.9
стручковий перець,1.9,0.5,9,1,1.5,14,,28
базилік,3.2,0.6,2.7,1,1.6,,,60
бразильський горіх,14,66,12,1,5.85,160,,103.6
суниця,0.8,0.6,8.8,1,3,,,
черешня,0.9,0.4,14,1,2.03,17,,
мигдаль,21,49,9,1,11.85,252,,61.6
картопля,2,0.2,19,1,1.5,0.02,,1.07
томатний сік,1,0.1,3.6,1,0.7,7,,116
квасоля біла,22.15,1.55,59.67,2.5,16,113,,11.3
мангольд,3.2,0.2,6.2,1,1.6,51,1.8,60
олія оливкова,,99.4,,1,,,,40
олія соняшникова,,99.4,,1,,,,8.3
олія кунжутна,,99.4,,1,,,,132
олія гарбузова,,99.4,,1,,,,144.5
шоколад чорний,9,55,30,1,7.4,,,47
вівсяні пластівці,13.1,6.2,65.7,3,7.5,52,3.6,5
гречка,12.6,2.6,68,2.5,5,20,6.7,14.6
кокосові вершки,2,17,3,1,2,16,1.6,66
кокос,3.67,34.96,14.27,1,10.5,19.02,,12.4
