Розмір порції,,,,,,,,,,,,,,
277.2222222,,,,,,,,,,,,,,
,1,100,20,5,0,1,0,0,,,,,,
,,вівсянка,мигдальна паста,клітковина льону,,,,,,,,,,
,,100,20,5,,,,,,,,,,
Грамів,325,300,20,5,,,,,,,,,,
Білків,19.32,13.2,4.42,1.7,,,,,,,,,,
Жирів,18.01,7,10.56,0.45,,,,,,,,,,
Вуглеводів,67.725,65.9,1.56,0.265,,,,,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Вівсянка,325,19.32,18.01,67.725,16.48,15.36,57.77,,,,,,,
,1,230,50,5,50,1,200,30,,,,,,
,,броколі,нут,олія,цибуля,соєвий соус,вода,бальзамічний оцет,,,,,,
,,230,50,5,50,30,200,30,,,,,,
Грамів,670,230,125,5,50,30,200,30,,,,,,
Білків,17.57,6.44,9.5,0,0.55,0.78,0,0.3,,,,,,
Жирів,8.94,0.92,3,4.97,0.05,0,0,0,,,,,,
Вуглеводів,60.19,16.1,30.5,0,4.5,3.3,0,5.79,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Броколі з нутом,670,17.57,8.94,60.19,7.27,3.7,24.9,,,,,,,
,1,40,20,50,60,1,10,25,,,,,,
,,нут,оливки,хліб,лимон,олія,рукола,петрушка,,,,,,
,,40,20,50,60,5,10,25,,,,,,
Грамів,270,100,20,50,60,5,10,25,,,,,,
Білків,14.36,7.6,0.2,5,0.6,0,0.21,0.75,,,,,,
Жирів,24.27,2.4,2.4,14,0.18,4.97,0.07,0.25,,,,,,
Вуглеводів,40.56,24.4,1,8,5.4,0,0.26,1.5,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Закуска з нуту,270,14.36,24.27,40.56,14.74,24.92,41.64,,,,,,,
,,,,,,,,,,,,,,
,,насіння льону,кунжут,насіння коноплі,йогурт,вода,,,,,,,,
,,20,5,5,200,30,,,,,,,,
Грамів,260,20,5,5,200,30,,,,,,,,
Білків,9.205,5.1,0.9,1.005,2.2,0,,,,,,,,
Жирів,48.265,8.14,2.5,1.625,36,0,,,,,,,,
Вуглеводів,15.445,4.66,1.15,1.235,8.4,0,,,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Каша з льону,260,9.205,48.265,15.445,9.81,51.46,16.47,,,,,,,
,1,30,5,150,30,50,100,,,,,,,
,,шпинат,олія,цукіні,цибуля,борошно,хумус,,,,,,,
,,30,5,150,30,50,100,,,,,,,
Грамів,365,30,5,150,30,50,100,,,,,,,
Білків,14.425,0.87,0,2.25,0.33,2.975,8,,,,,,,
Жирів,16.16,0,4.97,0.45,0.03,0.71,10,,,,,,,
Вуглеводів,61.145,1.08,0,4.5,2.7,38.865,14,,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Зелений хешбраун,365,14.425,16.16,61.145,10.96,12.27,46.44,,,,,,,
,0.4,96,40,40,20,8,30,,,,,,,
,,сочевиця,морква,цибуля,томатна паста,олія,зелень,вода,,,,,,
,,240,100,100,50,20,75,1000,,,,,,
Грамів,1945,600,100,100,50,20,75,1000,,,,,,
Білків,67.7,62.4,1,1.1,2,0,1.2,0,,,,,,
Жирів,23.195,2.64,0.2,0.1,0,19.88,0.375,0,,,,,,
Вуглеводів,169.365,144,7.34,9,7.9,0,1.125,0,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Суп із сочевиці,1945,67.7,23.195,169.365,9.65,3.31,24.14,,,,,,,
,1,100,150,15,50,50,75,25,10,,,,,
,,тофу,горошок,авокадо,огірок,редис,кріп,зелень,олія,,,,,
,,100,150,15,50,50,75,25,10,,,,,
Грамів,475,100,150,15,50,50,75,25,10,,,,,
Білків,21.24,13,4.65,0.24,0.5,0.5,1.95,0.4,0,,,,,
Жирів,19.555,7,0.3,1.965,0,0,0.225,0.125,9.94,,,,,
Вуглеводів,23.675,0,17.1,0.9,1,1.75,2.55,0.375,0,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Запечений тофу,475,21.24,19.555,23.675,12.4,11.41,13.82,,,,,,,
,1,100,70,150,,,,,,,,,,
,,яйця,кейл,томат,апельсин,,,,,,,,,
,,100,70,150,30,,,,,,,,,
Грамів,350,100,70,150,30,,,,,,,,,
Білків,17.786,13,3.01,1.5,0.276,,,,,,,,,
Жирів,11.66,10.6,0.7,0.3,0.06,,,,,,,,,
Вуглеводів,16.132,1.12,6.3,5.4,3.312,,,,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Яйця з салатом,350,17.786,11.66,16.132,14.09,9.24,12.78,,,,,,,
,,,,,,,,,,,,,,
,1,50,130,30,150,70,10,10,5,,,,,
,,макарони,баклажан,цибуля,печериці,томат,песто,рукола,олія,,,,,
,,50,130,30,150,70,10,10,5,,,,,
Грамів,530,125,130,30,150,70,10,10,5,,,,,
Білків,10.305,3.1,1.3,0.33,4.185,0.7,0.48,0.21,0,,,,,
Жирів,11.02,0.75,0,0.03,0.36,0.14,4.7,0.07,4.97,,,,,
